,,,Overall,Overall,Overall,Conference,Conference,Conference,Points Per Game,Points Per Game,SRS,SRS,Polls,Polls,Polls,
Rk,School,Conf,W,L,Pct,W,L,Pct,Off,Def,SRS,SOS,AP Pre,AP High,AP Post,Notes
1,Clemson,ACC (Atlantic),10,2,.833,9,1,.900,43.5,20.2,16.82,1.07,1,1,3,
2,Notre Dame,ACC (Atlantic),10,2,.833,9,1,.900,33.4,19.7,11.32,1.23,10,2,5,
3,North Carolina State,ACC (Atlantic),8,4,.667,7,3,.700,30.3,29.2,0.35,-1.57,,23,,
4,Boston College,ACC (Atlantic),6,5,.545,5,5,.500,27.8,28.4,-0.04,-0.59,,,,
5,Wake Forest,ACC (Atlantic),4,5,.444,3,4,.429,36.0,32.8,-0.33,0.12,,,,
6,Louisville,ACC (Atlantic),4,7,.364,3,7,.300,29.5,26.6,-0.78,-1.87,,18,,
7,Florida State,ACC (Atlantic),3,6,.333,2,6,.250,25.8,36.0,-8.87,-1.54,,,,
8,Syracuse,ACC (Atlantic),1,10,.091,1,9,.100,17.8,32.7,-12.92,1.53,,,,
9,Miami (FL),ACC (Coastal),8,3,.727,7,2,.778,34.0,27.0,6.56,1.47,,7,22,
10,North Carolina,ACC (Coastal),8,4,.667,7,3,.700,41.7,29.4,7.03,-1.55,18,5,18,
11,Pitt,ACC (Coastal),6,5,.545,5,5,.500,29.0,24.5,1.54,-1.19,,21,,
12,Virginia Tech,ACC (Coastal),5,6,.455,5,5,.500,31.1,32.1,1.51,1.78,,19,,
13,Virginia,ACC (Coastal),5,5,.500,4,5,.444,30.7,29.6,-0.39,-0.09,,,,
14,Georgia Tech,ACC (Coastal),3,7,.300,3,6,.333,23.9,36.8,-7.85,0.05,,,,
15,Duke,ACC (Coastal),2,9,.182,1,9,.100,24.8,38.1,-12.88,-1.60,,,,
16,Cincinnati,American (East),9,1,.900,7,0,1.000,37.5,16.8,14.92,-1.28,20,6,8,
17,UCF,American (East),6,4,.600,5,3,.625,42.2,33.2,5.92,-1.78,21,11,,
18,East Carolina,American (East),3,6,.333,3,5,.375,30.2,35.4,-6.43,-1.98,,,,
19,Temple,American (East),1,6,.143,1,6,.143,19.9,37.1,-19.25,-3.83,,,,
20,South Florida,American (East),1,8,.111,0,7,.000,23.1,39.9,-14.39,-1.28,,,,
21,Tulsa,American (West),6,3,.667,6,1,.857,27.1,21.6,5.20,0.42,,18,,
22,Memphis,American (West),8,3,.727,5,3,.625,31.0,27.9,-1.29,-5.56,,16,,
23,SMU,American (West),7,3,.700,4,3,.571,38.6,30.9,0.06,-6.14,,16,,
24,Houston,American (West),3,5,.375,3,3,.500,30.0,32.0,-2.84,0.53,,,,
25,Navy,American (West),3,7,.300,3,4,.429,16.6,30.3,-10.08,-0.88,,,,
26,Tulane,American (West),6,6,.500,3,5,.375,34.7,28.1,-0.71,-4.30,,,,
27,Oklahoma,Big 12,9,2,.818,7,2,.778,43.0,21.7,17.62,3.71,5,3,6,
28,Iowa State,Big 12,9,3,.750,8,2,.800,32.9,21.4,13.93,5.43,23,8,9,
29,Oklahoma State,Big 12,8,3,.727,6,3,.667,30.2,23.5,10.46,4.92,15,6,20,
30,Texas,Big 12,7,3,.700,5,3,.625,42.7,28.5,11.95,3.75,14,8,19,
31,Texas Christian,Big 12,6,4,.600,5,4,.556,30.8,24.2,7.41,3.71,,,,
32,West Virginia,Big 12,6,4,.600,4,4,.500,26.5,20.5,5.97,1.07,,,,
